Encoder Angle    Steering Angle
-------------------------------
     0     0

    0.3516    0.9375

    0.7031    1.8750

    1.0547    2.8125

    1.4062    3.7500

    1.7578    4.6875

    2.1094    5.6250

    2.4609    6.5625

    2.8125    7.5000

    3.1641    8.4375

    3.5156    9.3750

    3.8672   10.3125

    4.2188   11.2500

    4.5703   12.1875

    4.9219   13.1250

    5.2734   14.0625

    5.6250   15.0000

    5.9766   15.9375

    6.3281   16.8750

    6.6797   17.8125

    7.0312   18.7500

    7.3828   19.6875

    7.7344   20.6250

    8.0859   21.5625

    8.4375   22.5000

    8.7891   23.4375

    9.1406   24.3750

    9.4922   25.3125

    9.8438   26.2500

   10.1953   27.1875

   10.5469   28.1250

   10.8984   29.0625

   11.2500   30.0000

   11.6016   30.9375

   11.9531   31.8750

   12.3047   32.8125

   12.6562   33.7500

   13.0078   34.6875

   13.3594   35.6250

   13.7109   36.5625

   14.0625   37.5000

   14.4141   38.4375

   14.7656   39.3750

   15.1172   40.3125

   15.4688   41.2500

   15.8203   42.1875

   16.1719   43.1250

   16.5234   44.0625

   16.8750   45.0000

   17.2266   45.9375

   17.5781   46.8750

   17.9297   47.8125

   18.2812   48.7500

   18.6328   49.6875

   18.9844   50.6250

   19.3359   51.5625

   19.6875   52.5000

   20.0391   53.4375

   20.3906   54.3750

   20.7422   55.3125

   21.0938   56.2500

   21.4453   57.1875

   21.7969   58.1250

   22.1484   59.0625

   22.5000   60.0000

   22.8516   60.9375

   23.2031   61.8750

   23.5547   62.8125

   23.9062   63.7500

   24.2578   64.6875

   24.6094   65.6250

   24.9609   66.5625

   25.3125   67.5000

   25.6641   68.4375

   26.0156   69.3750

   26.3672   70.3125

   26.7188   71.2500

   27.0703   72.1875

   27.4219   73.1250

   27.7734   74.0625

   28.1250   75.0000

   28.4766   75.9375

   28.8281   76.8750

   29.1797   77.8125

   29.5312   78.7500

   29.8828   79.6875

   30.2344   80.6250

   30.5859   81.5625

   30.9375   82.5000

   31.2891   83.4375

   31.6406   84.3750

   31.9922   85.3125

   32.3438   86.2500

   32.6953   87.1875

   33.0469   88.1250

   33.3984   89.0625

   33.7500   90.0000

   34.1016   90.9375

   34.4531   91.8750

   34.8047   92.8125

   35.1562   93.7500

   35.5078   94.6875

   35.8594   95.6250

   36.2109   96.5625

   36.5625   97.5000

   36.9141   98.4375

   37.2656   99.3750

   37.6172  100.3125

   37.9688  101.2500

   38.3203  102.1875

   38.6719  103.1250

   39.0234  104.0625

   39.3750  105.0000

   39.7266  105.9375

   40.0781  106.8750

   40.4297  107.8125

   40.7812  108.7500

   41.1328  109.6875

   41.4844  110.6250

   41.8359  111.5625

   42.1875  112.5000

   42.5391  113.4375

   42.8906  114.3750

   43.2422  115.3125

   43.5938  116.2500

   43.9453  117.1875

   44.2969  118.1250

   44.6484  119.0625

    45   120

   45.3516  120.9375

   45.7031  121.8750

   46.0547  122.8125

   46.4062  123.7500

   46.7578  124.6875

   47.1094  125.6250

   47.4609  126.5625

   47.8125  127.5000

   48.1641  128.4375

   48.5156  129.3750

   48.8672  130.3125

   49.2188  131.2500

   49.5703  132.1875

   49.9219  133.1250

   50.2734  134.0625

   50.6250  135.0000

   50.9766  135.9375

   51.3281  136.8750

   51.6797  137.8125

   52.0312  138.7500

   52.3828  139.6875

   52.7344  140.6250

   53.0859  141.5625

   53.4375  142.5000

   53.7891  143.4375

   54.1406  144.3750

   54.4922  145.3125

   54.8438  146.2500

   55.1953  147.1875

   55.5469  148.1250

   55.8984  149.0625

   56.2500  150.0000

   56.6016  150.9375

   56.9531  151.8750

   57.3047  152.8125

   57.6562  153.7500

   58.0078  154.6875

   58.3594  155.6250

   58.7109  156.5625

   59.0625  157.5000

   59.4141  158.4375

   59.7656  159.3750

   60.1172  160.3125

   60.4688  161.2500

   60.8203  162.1875

   61.1719  163.1250

   61.5234  164.0625

   61.8750  165.0000

   62.2266  165.9375

   62.5781  166.8750

   62.9297  167.8125

   63.2812  168.7500

   63.6328  169.6875
